rank,phase,hostile_rank,paper_id,title,year,venue,authors,doi,url,cited_by_count,source_query,relevance_score,hostile_relevance,topic_tags,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract
439,landscape,,https://openalex.org/W2181780560,PREGO: An Action Language for Belief-Based Cognitive Robotics in Continuous Domains,2014,Proceedings of the AAAI Conference on Artificial Intelligence,Vaishak Belle; Hector J. Levesque,https://doi.org/10.1609/aaai.v28i1.8865,https://doi.org/10.1609/aaai.v28i1.8865,15,robot planning under uncertainty belief state POMDP,10.8863,2.8,general robot uncertainty,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"The area of cognitive robotics is often subject to the criticism that the proposals investigated in the literature are too far removed from the kind of continuous uncertainty and noise seen in actual real-world robotics. This paper proposes a new language and an implemented system, called PREGO, based on the situation calculus, that is able to reason effectively about degrees of belief against noisy sensors and effectors in continuous domains. It embodies the representational richness of conventional logic-based action languages, such as context-sensitive successor state axioms, but is still shown to be efficient using a number of empirical evaluations. We believe that PREGO is a powerful framework for exploring real-time reactivity and an interesting bridge between logic and probability for cognitive robotics applications."
440,landscape,,https://openalex.org/W4221112862,Simultaneous Localization and Mapping (SLAM) and Data Fusion in Unmanned Aerial Vehicles: Recent Advances and Challenges,2022,Drones,Abhishek Gupta; Xavier Fernando,https://doi.org/10.3390/drones6040085,https://doi.org/10.3390/drones6040085,109,robot planning under uncertainty belief state POMDP,10.8502,1.3,manipulation/contact; navigation/localization,"Make embodied decisions when perception, dynamics, or maps are uncertain.","Introduce a domain-specific planner, estimator, controller, or learning method.",represented uncertainty aligns with control relevance; model and task structure remain stable,"state variables, sensing costs, actuation model, task objective","irrelevant uncertainty, hidden coupling between representation size and decision quality",domain-specific uncertainty handling in robotics,minimal ambiguity objects that certify when more belief detail is unnecessary,"This article presents a survey of simultaneous localization and mapping (SLAM) and data fusion techniques for object detection and environmental scene perception in unmanned aerial vehicles (UAVs). We critically evaluate some current SLAM implementations in robotics and autonomous vehicles and their applicability and scalability to UAVs. SLAM is envisioned as a potential technique for object detection and scene perception to enable UAV navigation through continuous state estimation. In this article, we bridge the gap between SLAM and data fusion in UAVs while also comprehensively surveying related object detection techniques such as visual odometry and aerial photogrammetry. We begin with an introduction to applications where UAV localization is necessary, followed by an analysis of multimodal sensor data fusion to fuse the information gathered from different sensors mounted on UAVs. We then discuss SLAM techniques such as Kalman filters and extended Kalman filters to address scene perception, mapping, and localization in UAVs. The findings are summarized to correlate prevalent and futuristic SLAM and data fusion for UAV navigation, and some avenues for further research are discussed."
441,landscape,,https://openalex.org/W2605351416,Optimizing Expectation with Guarantees in POMDPs,2017,Proceedings of the AAAI Conference on Artificial Intelligence,Krishnendu Chatterjee; Petr Novotný; Guillermo A. Pérez; Jean-François Raskin; Đorđe Žikelić,https://doi.org/10.1609/aaai.v31i1.11046,https://doi.org/10.1609/aaai.v31i1.11046,13,robot planning under uncertainty belief state POMDP,10.8195,2.0,POMDP/belief planning; manipulation/contact; robust/risk/chance,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"A standard objective in partially-observable Markov decision processes (POMDPs) is to find a policy that maximizes the expected discounted-sum payoff. However, such policies may still permit unlikely but highly undesirable outcomes, which is problematic especially in safety-critical applications. Recently, there has been a surge of interest in POMDPs where the goal is to maximize the probability to ensure that the payoff is at least a given threshold, but these approaches do not consider any optimization beyond satisfying this threshold constraint. In this work we go beyond both the “expectation” and “threshold” approaches and consider a “guaranteed payoff optimization (GPO)” problem for POMDPs, where we are given a threshold t and the objective is to find a policy σ such that a) each possible outcome of σ yields a discounted-sum payoff of at least t, and b) the expected discounted-sum payoff of σ is optimal (or near-optimal) among all policies satisfying a). We present a practical approach to tackle the GPO problem and evaluate it on standard POMDP benchmarks."
442,landscape,,https://openalex.org/W2545375054,Wheelchair Driver Assistance and Intention Prediction using POMDPs,2007,,Tarek Taha; Jaime Valls Miró; Gamini Dissanayake,https://doi.org/10.1109/issnip.2007.4496885,https://doi.org/10.1109/issnip.2007.4496885,13,robot planning under uncertainty belief state POMDP,10.8195,2.0,POMDP/belief planning; multi-agent/human,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"Electric wheelchairs give otherwise immobile people the freedom of movement, they significantly increase independence and dramatically increase quality of life. However the physical control systems of such wheelchair can be prohibitive for some users; for example, people with severe tremors. Several assisted wheelchair platforms have been developed in the past to assist such users. Algorithms that assist specific behaviors such as door - passing, follow - corridor, or avoid - obstacles have been successful. Research has seen a move towards systems that predict the users intentions, based on the users input. These predictions have been typically limited to locations immediately surrounding the wheelchair. This paper presents a new assisted wheelchair driving system with large scale intelligent intention recognition based on POMDPs (partially observable Markov decision processes). The systems acts as an intelligent agent/decision-maker, it relies on minimal user input; to predict the users intention and then autonomously drives the user to his destination. The prediction is constantly being updated as new user input is received allowing for true user/system integration. This shifts the users focus from fine motor-skilled control to coarse control intended to convey intention."
443,landscape,,https://openalex.org/W4294237869,Planning for Automated Vehicles with Human Trust,2022,ACM Transactions on Cyber-Physical Systems,Shili Sheng; Erfan Pakdamanian; Kyungtae Han; Ziran Wang; John Lenneman; David Parker; Lu Feng,https://doi.org/10.1145/3561059,https://doi.org/10.1145/3561059,13,robot planning under uncertainty belief state POMDP,10.8195,2.0,POMDP/belief planning; manipulation/contact; learning/world models; multi-agent/human,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"Recent work has considered personalized route planning based on user profiles, but none of it accounts for human trust. We argue that human trust is an important factor to consider when planning routes for automated vehicles. This article presents a trust-based route-planning approach for automated vehicles. We formalize the human-vehicle interaction as a partially observable Markov decision process (POMDP) and model trust as a partially observable state variable of the POMDP, representing the human’s hidden mental state. We build data-driven models of human trust dynamics and takeover decisions, which are incorporated in the POMDP framework, using data collected from an online user study with 100 participants on the Amazon Mechanical Turk platform. We compute optimal routes for automated vehicles by solving optimal policies in the POMDP planning and evaluate the resulting routes via human subject experiments with 22 participants on a driving simulator. The experimental results show that participants taking the trust-based route generally reported more positive responses in the after-driving survey than those taking the baseline (trust-free) route. In addition, we analyze the trade-offs between multiple planning objectives (e.g., trust, distance, energy consumption) via multi-objective optimization of the POMDP. We also identify a set of open issues and implications for real-world deployment of the proposed approach in automated vehicles."
444,landscape,,https://openalex.org/W4391654576,Learning team-based navigation: a review of deep reinforcement learning techniques for multi-agent pathfinding,2024,Artificial Intelligence Review,Jaehoon Chung; Jamil Fayyad; Younes Al Younes; Homayoun Najjaran,https://doi.org/10.1007/s10462-023-10670-6,https://doi.org/10.1007/s10462-023-10670-6,37,robotics partial observability POMDP belief space planning,10.8188,1.3,manipulation/contact; navigation/localization; learning/world models; multi-agent/human,Learn policies or world models that act under noisy embodied observations.,"Train neural policies, recurrent state estimators, latent world models, or reinforcement-learning controllers.",data can teach the policy which uncertainty matters; latent size and recurrence can absorb ambiguity,"training distribution, architecture, reward, simulator fidelity","opaque uncertainty use, distribution shift, bloat in recurrent latent state, weak control-time certificates",larger learned world models or RL policies for uncertainty,explicit task-indexed ambiguity tests with auditable control consequences,"Abstract Multi-agent pathfinding (MAPF) is a critical field in many large-scale robotic applications, often being the fundamental step in multi-agent systems. The increasing complexity of MAPF in complex and crowded environments, however, critically diminishes the effectiveness of existing solutions. In contrast to other studies that have either presented a general overview of the recent advancements in MAPF or extensively reviewed Deep Reinforcement Learning (DRL) within multi-agent system settings independently, our work presented in this review paper focuses on highlighting the integration of DRL-based approaches in MAPF. Moreover, we aim to bridge the current gap in evaluating MAPF solutions by addressing the lack of unified evaluation indicators and providing comprehensive clarification on these indicators. Finally, our paper discusses the potential of model-based DRL as a promising future direction and provides its required foundational understanding to address current challenges in MAPF. Our objective is to assist readers in gaining insight into the current research direction, providing unified indicators for comparing different MAPF algorithms and expanding their knowledge of model-based DRL to address the existing challenges in MAPF."
445,landscape,,https://openalex.org/W137943378,Properly Acting under Partial Observability with Action Feasibility Constraints,2013,Lecture notes in computer science,Caroline Ponzoni Carvalho Chanel; Florent Teichteil-Königsbuch,https://doi.org/10.1007/978-3-642-40988-2_10,https://doi.org/10.1007/978-3-642-40988-2_10,4,robotics partial observability POMDP belief space planning | robot planning under uncertainty belief state POMDP,10.8047,2.0,POMDP/belief planning,"Make embodied decisions when perception, dynamics, or maps are uncertain.","Introduce a domain-specific planner, estimator, controller, or learning method.",represented uncertainty aligns with control relevance; model and task structure remain stable,"state variables, sensing costs, actuation model, task objective","irrelevant uncertainty, hidden coupling between representation size and decision quality",domain-specific uncertainty handling in robotics,minimal ambiguity objects that certify when more belief detail is unnecessary,
446,landscape,,https://openalex.org/W2950276012,Bayesian Reinforcement Learning in Factored POMDPs,2019,,Sammie Katt; Frans A. Oliehoek; Christopher Amato,https://doi.org/10.65109/msbg2685,https://doi.org/10.65109/msbg2685,4,robotics partial observability POMDP belief space planning | robot planning under uncertainty belief state POMDP,10.8047,2.0,POMDP/belief planning; learning/world models,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"Model-based Bayesian Reinforcement Learning (BRL) provides a principled solution to dealing with the exploration-exploitation trade-off, but such methods typically assume a fully observable environments. The few Bayesian RL methods that are applicable in partially observable domains, such as the Bayes-Adaptive POMDP (BA-POMDP), scale poorly. To address this issue, we introduce the Factored BA-POMDP model (FBA-POMDP), a framework that is able to learn a compact model of the dynamics by exploiting the underlying structure of a POMDP. The FBA-POMDP framework casts the problem as a planning task, for which we adapt the Monte-Carlo Tree Search planning algorithm and develop a belief tracking method to approximate the joint posterior over the state and model variables. Our empirical results show that this method outperforms a number of BRL baselines and is able to learn efficiently when the factorization is known, as well as learn both the factorization and the model parameters simultaneously."
447,landscape,,https://openalex.org/W2604855040,Supervisor Synthesis of POMDP based on Automata Learning,2017,arXiv (Cornell University),Xiaobin Zhang; Bo Wu; Hai Lin,https://doi.org/10.48550/arxiv.1703.08262,https://doi.org/10.48550/arxiv.1703.08262,4,robotics partial observability POMDP belief space planning | robot planning under uncertainty belief state POMDP,10.8047,2.0,POMDP/belief planning; robust/risk/chance; learning/world models,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"As a general and thus popular model for autonomous systems, partially observable Markov decision process (POMDP) can capture uncertainties from different sources like sensing noises, actuation errors, and uncertain environments. However, its comprehensiveness makes the planning and control in POMDP difficult. Traditional POMDP planning problems target to find the optimal policy to maximize the expectation of accumulated rewards. But for safety critical applications, guarantees of system performance described by formal specifications are desired, which motivates us to consider formal methods to synthesize supervisor for POMDP. With system specifications given by Probabilistic Computation Tree Logic (PCTL), we propose a supervisory control framework with a type of deterministic finite automata (DFA), za-DFA, as the controller form. While the existing work mainly relies on optimization techniques to learn fixed-size finite state controllers (FSCs), we develop an $L^*$ learning based algorithm to determine both space and transitions of za-DFA. Membership queries and different oracles for conjectures are defined. The learning algorithm is sound and complete. An example is given in detailed steps to illustrate the supervisor synthesis algorithm."
448,landscape,,https://openalex.org/W4393943549,Learning Explainable and Better Performing Representations of POMDP Strategies,2024,Lecture notes in computer science,Alexander Bork; Debraj Chakraborty; Kush Grover; Jan Křetínský; Stefanie Mohr,https://doi.org/10.1007/978-3-031-57249-4_15,https://doi.org/10.1007/978-3-031-57249-4_15,4,robotics partial observability POMDP belief space planning | robot planning under uncertainty belief state POMDP,10.8047,2.0,POMDP/belief planning; learning/world models,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"Abstract Strategies for partially observable Markov decision processes (POMDP) typically require memory. One way to represent this memory is via automata. We present a method to learn an automaton representation of a strategy using a modification of the $$L^*$$ <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""> <mml:msup> <mml:mi>L</mml:mi> <mml:mo>∗</mml:mo> </mml:msup> </mml:math> -algorithm. Compared to the tabular representation of a strategy, the resulting automaton is dramatically smaller and thus also more explainable. Moreover, in the learning process, our heuristics may even improve the strategy’s performance. We compare our approach to an existing approach that synthesizes an automaton directly from the POMDP, thereby solving it. Our experiments show that our approach can lead to significant improvements in the size and quality of the resulting strategy representations."
449,landscape,,https://openalex.org/W4378174415,Welfare Maximization Algorithm for Solving Budget-Constrained Multi-Component POMDPs,2023,IEEE Control Systems Letters,Manav Vora; Pranay Thangeda; Michael N. Grussing; Melkior Ornik,https://doi.org/10.1109/lcsys.2023.3280080,https://doi.org/10.1109/lcsys.2023.3280080,4,robotics partial observability POMDP belief space planning | robot planning under uncertainty belief state POMDP,10.8047,2.0,POMDP/belief planning,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"Partially Observable Markov Decision Processes (POMDPs) provide an efficient way to model real-world sequential decision making processes. Motivated by the problem of maintenance and inspection of a group of infrastructure components with independent dynamics, this letter presents an algorithm to find the optimal policy for a multi-component budget-constrained POMDP. We first introduce a budgeted-POMDP model (b-POMDP) which enables us to find the optimal policy for a POMDP while adhering to budget constraints. Next, we prove that the value function or maximal collected reward for a special class of b-POMDPs is a concave function of the budget for the finite horizon case. Our second contribution is an algorithm to calculate the optimal policy for a multi-component budget-constrained POMDP by finding the optimal budget split among the individual component POMDPs. The optimal budget split is posed as a welfare maximization problem and the solution is computed by exploiting the concavity of the value function. We illustrate the effectiveness of the proposed algorithm by proposing a maintenance and inspection policy for a group of real-world infrastructure components with different deterioration dynamics, inspection and maintenance costs. We show that the proposed algorithm vastly outperforms the policies currently used in practice."
450,landscape,,https://openalex.org/W3207078897,Control-Tree Optimization: an approach to MPC under discrete Partial Observability,2021,,Camille Phiquepal; Marc Toussaint,https://doi.org/10.1109/icra48506.2021.9561664,https://doi.org/10.1109/icra48506.2021.9561664,6,robotics partial observability POMDP belief space planning | robot planning under uncertainty belief state POMDP,10.773,2.0,POMDP/belief planning; motion planning/MPC; robust/risk/chance,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"This paper presents a new approach to Model Predictive Control for environments where essential, discrete variables are partially observed. Under this assumption, the belief state is a probability distribution over a finite number of states. We optimize a control-tree where each branch assumes a given state-hypothesis. The control-tree optimization uses the probabilistic belief state information. This leads to policies more optimized with respect to likely states than unlikely ones, while still guaranteeing robust constraint satisfaction at all times. We apply the method to both linear and non-linear MPC with constraints. The optimization of the control-tree is decomposed into optimization subproblems that are solved in parallel leading to good scalability for high number of state-hypotheses. We demonstrate the real-time feasibility of the algorithm on two examples and show the benefits compared to a classical MPC scheme optimizing w.r.t. one single hypothesis."
451,landscape,,https://openalex.org/W4392966039,Deep reinforcement learning navigation via decision transformer in autonomous driving,2024,Frontiers in Neurorobotics,Lun Ge; Xiaoguang Zhou; Yongqiang Li; Yongcong Wang,https://doi.org/10.3389/fnbot.2024.1338189,https://doi.org/10.3389/fnbot.2024.1338189,17,robotics partial observability POMDP belief space planning,10.7452,2.5,POMDP/belief planning; manipulation/contact; navigation/localization; motion planning/MPC; learning/world models,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"In real-world scenarios, making navigation decisions for autonomous driving involves a sequential set of steps. These judgments are made based on partial observations of the environment, while the underlying model of the environment remains unknown. A prevalent method for resolving such issues is reinforcement learning, in which the agent acquires knowledge through a succession of rewards in addition to fragmentary and noisy observations. This study introduces an algorithm named deep reinforcement learning navigation via decision transformer (DRLNDT) to address the challenge of enhancing the decision-making capabilities of autonomous vehicles operating in partially observable urban environments. The DRLNDT framework is built around the Soft Actor-Critic (SAC) algorithm. DRLNDT utilizes Transformer neural networks to effectively model the temporal dependencies in observations and actions. This approach aids in mitigating judgment errors that may arise due to sensor noise or occlusion within a given state. The process of extracting latent vectors from high-quality images involves the utilization of a variational autoencoder (VAE). This technique effectively reduces the dimensionality of the state space, resulting in enhanced training efficiency. The multimodal state space consists of vector states, including velocity and position, which the vehicle's intrinsic sensors can readily obtain. Additionally, latent vectors derived from high-quality images are incorporated to facilitate the Agent's assessment of the present trajectory. Experiments demonstrate that DRLNDT may achieve a superior optimal policy without prior knowledge of the environment, detailed maps, or routing assistance, surpassing the baseline technique and other policy methods that lack historical data."
452,landscape,,https://openalex.org/W4379255815,BetaZero: Belief-State Planning for Long-Horizon POMDPs using Learned Approximations,2023,arXiv (Cornell University),Robert J. Moss; Anthony Corso; Jef Caers; Mykel J. Kochenderfer,https://doi.org/10.48550/arxiv.2306.00249,https://doi.org/10.48550/arxiv.2306.00249,3,robotics partial observability POMDP belief space planning | robot planning under uncertainty belief state POMDP,10.6931,2.0,POMDP/belief planning; learning/world models,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"Real-world planning problems, including autonomous driving and sustainable energy applications like carbon storage and resource exploration, have recently been modeled as partially observable Markov decision processes (POMDPs) and solved using approximate methods. To solve high-dimensional POMDPs in practice, state-of-the-art methods use online planning with problem-specific heuristics to reduce planning horizons and make the problems tractable. Algorithms that learn approximations to replace heuristics have recently found success in large-scale fully observable domains. The key insight is the combination of online Monte Carlo tree search with offline neural network approximations of the optimal policy and value function. In this work, we bring this insight to partially observable domains and propose BetaZero, a belief-state planning algorithm for high-dimensional POMDPs. BetaZero learns offline approximations that replace heuristics to enable online decision making in long-horizon problems. We address several challenges inherent in large-scale partially observable domains; namely challenges of transitioning in stochastic environments, prioritizing action branching with a limited search budget, and representing beliefs as input to the network. To formalize the use of all limited search information, we train against a novel $Q$-weighted visit counts policy. We test BetaZero on various well-established POMDP benchmarks found in the literature and a real-world problem of critical mineral exploration. Experiments show that BetaZero outperforms state-of-the-art POMDP solvers on a variety of tasks."
453,landscape,,https://openalex.org/W4382317935,Shielding in Resource-Constrained Goal POMDPs,2023,Proceedings of the AAAI Conference on Artificial Intelligence,Michal Ajdarów; Šimon Brlej; Petr Novotný,https://doi.org/10.1609/aaai.v37i12.26715,https://doi.org/10.1609/aaai.v37i12.26715,3,robotics partial observability POMDP belief space planning | robot planning under uncertainty belief state POMDP,10.6931,2.0,POMDP/belief planning,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"We consider partially observable Markov decision processes (POMDPs) modeling an agent that needs a supply of a certain resource (e.g., electricity stored in batteries) to operate correctly. The resource is consumed by the agent's actions and can be replenished only in certain states. The agent aims to minimize the expected cost of reaching some goal while preventing resource exhaustion, a problem we call resource-constrained goal optimization (RSGO). We take a two-step approach to the RSGO problem. First, using formal methods techniques, we design an algorithm computing a shield for a given scenario: a procedure that observes the agent and prevents it from using actions that might eventually lead to resource exhaustion. Second, we augment the POMCP heuristic search algorithm for POMDP planning with our shields to obtain an algorithm solving the RSGO problem. We implement our algorithm and present experiments showing its applicability to benchmarks from the literature."
454,landscape,,https://openalex.org/W2242097580,Improving Dynamic Decision-Making Through RFID: A Partially Observable Markov Decision Process (POMDP) for RFID-Enhanced Warehouse Search Operations,2014,SHAREOK (University of Oklahoma),Sharethram Hariharan,,https://openalex.org/W2242097580,3,robotics partial observability POMDP belief space planning | robot planning under uncertainty belief state POMDP,10.6931,2.0,POMDP/belief planning; learning/world models,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"Misplaced items contribute significantly (2-10%) to the operational expense of a typical warehouse. In this work we develop a Partially Observable Markov Decision Process (POMDP) model for RFID directed search to detect misplaced items within a storage environment. A forklift operator (FLO) equipped with an RFID reader is assigned to search for a misplaced item in a warehouse. A FLO does not know the location of the tagged misplaced item and is guided by the imperfect variations in the strength of the signal received from the RFID tag (active or passive). The model considers five actions, five observations in scenarios with different RFID signal strength distributions namely, excellent, good and poor. An extensive simulation study has been conducted to evaluate the performance of RFID-driven POMDP search method. Specifically, the effects of signal strength distributions, initial beliefs at the start of the search and, the discount factor have been studied."
455,landscape,,https://openalex.org/W4294557525,Influence-aware memory architectures for deep reinforcement learning in POMDPs,2022,Neural Computing and Applications,Miguel Suau; Jinke He; Elena Congeduti; Rolf A. N. Starre; Aleksander Czechowski; Frans A. Oliehoek,https://doi.org/10.1007/s00521-022-07691-7,https://doi.org/10.1007/s00521-022-07691-7,3,robotics partial observability POMDP belief space planning | robot planning under uncertainty belief state POMDP,10.6931,2.0,POMDP/belief planning; learning/world models,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"Abstract Due to its perceptual limitations, an agent may have too little information about the environment to act optimally. In such cases, it is important to keep track of the action-observation history to uncover hidden state information. Recent deep reinforcement learning methods use recurrent neural networks (RNN) to memorize past observations. However, these models are expensive to train and have convergence difficulties, especially when dealing with high dimensional data. In this paper, we propose influence-aware memory , a theoretically inspired memory architecture that alleviates the training difficulties by restricting the input of the recurrent layers to those variables that influence the hidden state information. Moreover, as opposed to standard RNNs, in which every piece of information used for estimating Q values is inevitably fed back into the network for the next prediction, our model allows information to flow without being necessarily stored in the RNN’s internal memory. Results indicate that, by letting the recurrent layers focus on a small fraction of the observation variables while processing the rest of the information with a feedforward neural network, we can outperform standard recurrent architectures both in training speed and policy performance. This approach also reduces runtime and obtains better scores than methods that stack multiple observations to remove partial observability."
456,landscape,,https://openalex.org/W4389833087,EPPTA: Efficient partially observable reinforcement learning agent for penetration testing applications,2023,Engineering Reports,Zegang Li; Qian Zhang; Guangwen Yang,https://doi.org/10.1002/eng2.12818,https://doi.org/10.1002/eng2.12818,3,robotics partial observability POMDP belief space planning,10.6931,2.0,POMDP/belief planning; learning/world models,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"Abstract In recent years, penetration testing (pen‐testing) has emerged as a crucial process for evaluating the security level of network infrastructures by simulating real‐world cyber‐attacks. Automating pen‐testing through reinforcement learning (RL) facilitates more frequent assessments, minimizes human effort, and enhances scalability. However, real‐world pen‐testing tasks often involve incomplete knowledge of the target network system. Effectively managing the intrinsic uncertainties via partially observable Markov decision processes (POMDPs) constitutes a persistent challenge within the realm of pen‐testing. Furthermore, RL agents are compelled to formulate intricate strategies to contend with the challenges posed by partially observable environments, thereby engendering augmented computational and temporal expenditures. To address these issues, this study introduces EPPTA (efficient POMDP‐driven penetration testing agent), an agent built on an asynchronous RL framework, designed for conducting pen‐testing tasks within partially observable environments. We incorporate an implicit belief module in EPPTA, grounded on the belief update formula of the traditional POMDP model, which represents the agent's probabilistic estimation of the current environment state. Furthermore, by integrating the algorithm with the high‐performance RL framework, sample factory, EPPTA significantly reduces convergence time compared to existing pen‐testing methods, resulting in an approximately 20‐fold acceleration. Empirical results across various pen‐testing scenarios validate EPPTA's superior task reward performance and enhanced scalability, providing substantial support for efficient and advanced evaluation of network infrastructure security."
